sku,mfcp_brand,description,short_description,clamp_pressure,clamp_type,gauge_type,gauge_series,gauge_face_size,case_type,connection_size,gauge_mount,gauge_range,loctite_brand_application,banjo_product_family,banjo_product_family_type,banjo_product_style,banjo_product_size
101,Henkel Corporation,Loc Quick Service Kit,Loc Quick Service Kit,,,,,,,,,,Adhesives ,,,,
112,Henkel Corporation,Loc O-Ring Splice Kit,Loc O-Ring Splice Kit,,,,,,,,,,Adhesives ,,,,
144,Henkel Corporation,Speedbinder Kit,Speedbinder Kit,,,,,,,,,,Adhesives ,,,,
3333,Henkel Corporation,Loc Speed Bonder Kit,Loc Speed Bonder Kit,,,,,,,,,,Adhesives ,,,,
7931,Henkel Corporation,Loc Grade E 50Ml Trheadlocker,Loc Grade E 50Ml Trheadlocker,,,,,,,,,,Adhesives ,,,,
8431,Henkel Corporation,Loc Threadlocker,Loc Threadlocker,,,,,,,,,,Adhesives ,,,,
12705,Banjo Corporation,Check Valve,Check Valve,,,,,,,,,,,Pumps,Accessory,,
12713,Banjo Corporation,Seal Assembly,Banjo EPDM Pump Seal,,,,,,,,,,,Pumps,Accessory,EPDM,
12716,Banjo Corporation,Banjo Slinger For 200P-5 EPDM,Banjo Slinger For 200P-5 EPDM,,,,,,,,,,,Pumps,Accessory,EPDM,2 inch
12717,Banjo Corporation,O-Ring for Screw Head,Banjo O-Ring For Bracket Screw,,,,,,,,,,,Pumps,Accessory,,
12754,Banjo Corporation,O-Ring Segment,O-Ring Segment,,,,,,,,,,,Pumps,Accessory,,
12772,Banjo Corporation,5 Vane Impeller,Vane Impeller Poly Pump 5 In,,,,,,,,,,,Pumps,Accessory,Polypropylene,
12777,Banjo Corporation,Plug For 1 & 1-1/4 Line Str,Plug For 1 & 1-1/4 Line Str,,,,,,,,,,,Line Strainers,Accessory,,
13000,Banjo Corporation,Repair Kit,Pump Repair Kit 3 In,,,,,,,,,,,Pumps,kit,,3 inch
13712,Banjo Corporation,Body Assembly,banjo body assembly,,,,,,,,,,,Pumps,Accessory,,
13777,Banjo Corporation,Drain Plug,Poly Pump Drain/Prime Plug 3,,,,,,,,,,,Pumps,Accessory,Polypropylene,3 inch
13778,Banjo Corporation,O-Ring,poly pump drain plug o-ring,,,,,,,,,,,Pumps,Accessory,Polypropylene,
15035,Banjo Corporation,Fkm Mechanical Seal Assembly,Fkm Mechanical Seal Assembly,,,,,,,,,,,Pumps,Accessory,,
15772,Banjo Corporation,"Impeller,Cast Iron Material","Impeller,Cast Iron Material",,,,,,,,,,,Pumps,Accessory,,
17000,Banjo Corporation,Outlet flange,Flange Outlet 2 Inch,,,,,,,,,,,Pumps,Accessory,,2 inch
17002,Banjo Corporation,Threaded Inlet Flange,Flange Inlet 2 Inch,,,,,,,,,,,Pumps,Accessory,,2 inch
17011,Banjo Corporation,Wear Plate,Plate Wear,,,,,,,,,,,Pumps,Accessory,,
17013,Banjo Corporation,EPDM Gasket,Outlet Gasket Epdm,,,,,,,,,,,Pumps,Accessory,EPDM,
17016,Banjo Corporation,Check Valve Assembly,Gasket & Flap Epdm,,,,,,,,,,,Pumps,Accessory,EPDM,
17018,Banjo Corporation,Adapter Gasket,Gasket Adapter,,,,,,,,,,,Pumps,Accessory,,
17035,Banjo Corporation,FKM (viton type) Seal Assembly,Banjo FKM Seal assembly,,,,,,,,,,,Pumps,Accessory,,
18009,Banjo Corporation,EPDM Outlet Gasket,Gasket Outlet Epdm,,,,,,,,,,,Pumps,Accessory,EPDM,
18012,Banjo Corporation,NPT Inlet Flange,Flange Inlet 3In Npt,,,,,,,,,,,Pumps,Accessory,,
17170,Henkel Corporation,Loc Empty Bottles 50Ml 10/Box W/Cap&Plug,Loc Empty Bottles 50Ml 10/Box W/Cap&Plug,,,,,,,,,,Tooling,,,,
17430,Henkel Corporation,LOCTITE FLEXIBLE GASKET MAKER 300ML,LOCTITE FLEXIBLE GASKET MAKER 300ML,,,,,,,,,,Gasketing,,,,
18021,Banjo Corporation,Adapter Gasket,Gasket Adapter,,,,,,,,,,,Pumps,Accessory,,
18025,Banjo Corporation,FKM (viton type) Seal Assembly,Fkm Type Seal Assembly-Boxed,,,,,,,,,,,Pumps,Accessory,,
18700,Banjo Corporation,Base Plate Assembly,Base Plate Assembly,,,,,,,,,,,Pumps,Accessory,,
050C,Banjo Corporation,Poly Cam Lever Couplings: Female Coupler .75 x .5 Inch Hose Shank,C-Pp 3/4 Fmle Cplr X 1/2 Hose Shn,,,,,,,,,,,Cam Lever Couplings,Part C,Polypropylene,3/4 inch
18390,Henkel Corporation,Loctite 712 Primer 1 GAL Can,Loctite 712 Primer 1 GAL Can,,,,,,,,,,Sureface Treatments,,,,
18396,Henkel Corporation,Loc Prism Primer 770 Adhesion Promo 1.75,Loc Prism Primer 770 Adhesion Promo 1.75,,,,,,,,,,Sureface Treatments,,,,
18398,Henkel Corporation,LOCTITE 426 ADHESIVE 20G TUBE,LOCTITE 426 ADHESIVE 20G TUBE,,,,,,,,,,Adhesives ,,,,
